TeamID,TeamName,MarketValue
281,Manchester City,1260000000
11,Arsenal FC,1100000000
631,Chelsea FC,999000000
31,Liverpool FC,877300000
985,Manchester United,877300000
148,Tottenham Hotspur,747600000
762,Newcastle United,0
405,Aston Villa,630700000
379,West Ham United,0
1237,Brighton & Hove Albion,468300000
703,Nottingham Forest,0
1148,Brentford FC,0
873,Crystal Palace,0
29,Everton FC,0
989,AFC Bournemouth,0
543,Wolverhampton Wanderers,0
931,Fulham FC,0
1132,Burnley FC,0
350,Sheffield United,0
1031,Luton Town,0
